# 2024-10-25T17:49:23+02:00
# Header Rows: 14
# File Format: 2
# Device: waveScan USB
# Serial: S10794
# Firmware: 4.3.4
# Software: 2.0.0.60
# SVN Revision: 541
# SpectrumCenter of Gravity: 1036.5 nm
# SpectrumFWHM: 23.8 nm
# SpectrumPeak: 1024.1 nm
# ==========
# Wavelength	Intensity
# ==========
1144.431	200
1144.602	192
1144.773	209
1144.944	181
1145.115	188
1145.286	192
1145.457	165
1145.628	185
1145.799	160
1145.970	179
1146.141	155
1146.312	153
1146.483	145
1146.654	144
1146.825	144
1146.996	147
1147.167	134
1147.338	151
1147.509	131
1147.680	128
1147.851	131
1148.021	129
1148.192	125
1148.363	128
1148.534	116
1148.705	128
1148.876	123
1149.047	122
1149.218	122
1149.389	102
1149.560	113
1149.731	91
1149.902	91
1150.073	90
1150.244	96
1150.415	88
1150.586	80
1150.757	81
1150.928	79
1151.099	76
1151.270	76
1151.441	77
1151.612	65
1151.783	66
1151.954	70
1152.125	67
1152.296	60
1152.467	62
1152.638	63
1152.809	52
1152.980	61
1153.151	59
1153.322	52
1153.493	56
1153.664	53
1153.835	61
1154.006	54
1154.177	45
1154.348	51
1154.519	51
1154.690	51
1154.861	48
1155.032	51
1155.203	45
1155.374	48
1155.545	42
1155.716	40
1155.887	44
1156.058	45
1156.229	45
1156.400	38
1156.571	41
1156.742	40
1156.913	39
1157.084	39
1157.255	45
1157.426	40
1157.596	41
1157.767	39
1157.938	45
1158.109	38
1158.280	45
1158.451	35
1158.622	39
1158.793	36
1158.964	36
1159.135	33
1159.306	41
1159.477	36
1159.648	39
1159.819	40
1159.990	36
1160.161	43
1160.332	39
1160.503	38
1160.674	34
1160.845	36
1161.016	41
1161.187	37
1161.358	35
1161.529	37
1161.700	34
1161.871	32
1162.042	35
1162.213	42
1162.384	34
1162.555	35
1162.726	35
1162.897	43
1163.068	35
1163.239	32
1163.410	41
1163.581	38
1163.752	35
